Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
SNEA.SG01NAC16P10A11,2007.03,526,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2008.03,482,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2009.03,404,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2010.03,450,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2011.03,563,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2012.03,675,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2013.03,587,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2014.03,573,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2015.03,644,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2016.03,641,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2017.03,470,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2018.03,548,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2019.03,600,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A11,2020.03,518,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Wool,,,
SNEA.SG01NAC16P10A12,2007.03,1734,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2008.03,1671,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2009.03,2144,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2010.03,2165,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2011.03,2362,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2012.03,2820,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2013.03,2263,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2014.03,2340,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2015.03,2367,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2016.03,2229,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2017.03,2204,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2018.03,2860,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2019.03,3308,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A12,2020.03,3307,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Sheep,,,
SNEA.SG01NAC16P10A13,2007.03,1948,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2008.03,1714,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2009.03,2057,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2010.03,1848,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2011.03,2127,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2012.03,2289,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2013.03,2316,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2014.03,2166,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2015.03,2614,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2016.03,3074,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2017.03,2919,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2018.03,3172,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2019.03,3218,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A13,2020.03,3437,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Cattle,,,
SNEA.SG01NAC16P10A14,2007.03,166,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2008.03,160,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2009.03,181,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2010.03,179,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2011.03,168,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2012.03,185,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2013.03,172,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2014.03,185,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2015.03,186,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2016.03,180,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2017.03,172,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2018.03,161,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2019.03,164,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A14,2020.03,178,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Pigs,,,
SNEA.SG01NAC16P10A15,2007.03,5273,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2008.03,9885,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2009.03,6995,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2010.03,8888,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2011.03,10953,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2012.03,10567,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2013.03,10385,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2014.03,14823,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2015.03,9378,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2016.03,7608,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2017.03,10990,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2018.03,12424,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A15,2019.03,12468,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
